"tipo_vehiculo","anio_inscripcion_inicial","mes_inscripcion_inicial","provincia_inscripcion_inicial","letra_provincia_inscripcion_inicial","cantidad_inscripciones_iniciales","provincia_id"
"Automotores",2000,10,"Entre Ríos","E",734,"30"
"Automotores",2000,10,"Formosa","P",303,"34"
"Automotores",2000,10,"Jujuy","Y",461,"38"
"Automotores",2000,10,"La Pampa","L",292,"42"
"Automotores",2000,10,"La Rioja","F",300,"46"
"Automotores",2000,10,"Mendoza","M",1294,"50"
"Automotores",2000,10,"Misiones","N",536,"54"
"Automotores",2000,10,"Neuquén","Q",580,"58"
"Automotores",2000,10,"Río Negro","R",534,"62"
"Automotores",2000,10,"Salta","A",447,"66"
"Automotores",2000,10,"San Juan","J",511,"70"
"Automotores",2000,10,"San Luis","D",352,"74"
"Automotores",2000,10,"Santa Cruz","Z",276,"78"
"Automotores",2000,10,"Santa Fe","S",2782,"82"
"Automotores",2000,10,"Santiago del Estero","G",369,"86"
"Automotores",2000,10,"Tierra del Fuego","V",241,"94"
"Automotores",2000,10,"Tucumán","T",840,"90"
"Automotores",2000,11,"Buenos Aires","B",6867,"06"
"Automotores",2000,11,"Catamarca","K",147,"10"
"Automotores",2000,11,"Chaco","H",282,"22"
"Automotores",2000,11,"Chubut","U",463,"26"
"Automotores",2000,11,"Ciudad Autónoma de Bs.As.","C",6310,"02"
"Automotores",2000,11,"Córdoba","X",2529,"14"
"Automotores",2000,11,"Corrientes","W",337,"18"
"Automotores",2000,11,"Entre Ríos","E",490,"30"
"Automotores",2000,11,"Formosa","P",165,"34"
"Automotores",2000,11,"Jujuy","Y",287,"38"
"Automotores",2000,11,"La Pampa","L",148,"42"
"Automotores",2000,11,"La Rioja","F",174,"46"
"Automotores",2000,11,"Mendoza","M",730,"50"
"Automotores",2000,11,"Misiones","N",320,"54"
"Automotores",2000,11,"Neuquén","Q",334,"58"
"Automotores",2000,11,"Río Negro","R",273,"62"
"Automotores",2000,11,"Salta","A",288,"66"
"Automotores",2000,11,"San Juan","J",303,"70"
"Automotores",2000,11,"San Luis","D",189,"74"
"Automotores",2000,11,"Santa Cruz","Z",183,"78"
"Automotores",2000,11,"Santa Fe","S",1797,"82"
"Automotores",2000,11,"Santiago del Estero","G",180,"86"
"Automotores",2000,11,"Tierra del Fuego","V",290,"94"
"Automotores",2000,11,"Tucumán","T",539,"90"
"Automotores",2000,12,"Buenos Aires","B",4125,"06"
"Automotores",2000,12,"Catamarca","K",112,"10"
"Automotores",2000,12,"Chaco","H",123,"22"
"Automotores",2000,12,"Chubut","U",278,"26"
"Automotores",2000,12,"Ciudad Autónoma de Bs.As.","C",5693,"02"
"Automotores",2000,12,"Córdoba","X",1321,"14"
"Automotores",2000,12,"Corrientes","W",176,"18"
"Automotores",2000,12,"Entre Ríos","E",246,"30"
"Automotores",2000,12,"Formosa","P",157,"34"
"Automotores",2000,12,"Jujuy","Y",213,"38"
"Automotores",2000,12,"La Pampa","L",108,"42"
"Automotores",2000,12,"La Rioja","F",113,"46"
"Automotores",2000,12,"Mendoza","M",524,"50"
"Automotores",2000,12,"Misiones","N",166,"54"
"Automotores",2000,12,"Neuquén","Q",269,"58"
"Automotores",2000,12,"Río Negro","R",166,"62"
"Automotores",2000,12,"Salta","A",244,"66"
"Automotores",2000,12,"San Juan","J",269,"70"
"Automotores",2000,12,"San Luis","D",134,"74"
"Automotores",2000,12,"Santa Cruz","Z",201,"78"
"Automotores",2000,12,"Santa Fe","S",977,"82"
"Automotores",2000,12,"Santiago del Estero","G",105,"86"
"Automotores",2000,12,"Tierra del Fuego","V",284,"94"
"Automotores",2000,12,"Tucumán","T",277,"90"
